ʃa	thick	se	thick
ka	climb, ascend, up; do in upward path (postp.)	ke	climb/ascend
riŋ	alive; + phaa 'be happy'	rɐŋ	alive
riŋ	alive; + phaa 'be happy'	rɐŋ	alive; be living
tsik	black	tsoʔ	black
tsa	eat (e.g. rice)	tse	eat
tsa	eat (e.g. rice)	tse	eat
rit	heavy	rejʔ	heavy
sar	old	sa	old
kʰa	bitter	kʰe	bitter
tsat	walk	tsejʔ	walk
paj	fly, jump	pej	fly
paj	fly, jump	pej	fly (v.)
rak	weave	roʔ	weave
rak	weave	roʔ	weaver
rak	weave	roʔ	weave
cap	weep, cry	tsaʔ	weep
tʰi	die	tik	be numb/ be paralyzed
tʰi	die	tik	die; be dead
tʰi	die	tik	carcass
tʰak	kick	kaʔ	kick
kʰa	cough	kʰe	cough
sun	join	sɐŋ	joint
tsi	too tight	tsik	tight
tsa	ill	tse	be sick/be ill/hurt
ci	fear (& frighten?), be afraid	tsik	afraid
ci	fear (& frighten?), be afraid	tsik	fear
su	wash (clothes)	suk	wash
tʰak	kick	kaʔ	kick
nu	laugh	nuk	laugh
nu	laugh	nuk	smile; laugh
nu	laugh	nuk	smile; laugh
pet	soft	vejʔ	soft (to touch)
lek	lick	leʔ	lick
luj	fall	lo	fall
met	squeeze	mejʔ	extinguish/put out fire
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)	suʔ	emerge
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)	suʔ	produce/emerge
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)	suʔ	exit
tʰur	sour; bitter (person)	tʰu	sour
ra	be born	re	be born
tʰuj	awaken, wake up, leave, sprout (plant)	tʰow	awaken
kʰop	sew, stitch	kʰɐp	sew
sa	animal, meat	se	animal
sa	animal, meat	se	flesh; meat
sa	animal, meat	ʃe	body
rik	louse	roʔ	louse
var	mushroom	va	mushroom
fu	dog	huk	dog
fu	dog	huk	dog (Canis familiaris)
la	song	le	sing
ʃa	hundred	se	hundred
na	nose	ni	nose
ca	ant 	tse	ant
ʃu	dove	tsuk	dove
ʃu	dove	tsuk	dove/pigeon (general term)
sam	hair (on head)	sam	hair (head)
sam	hair (on head)	sam	hair of head
ʃat	thorn	ʃe	thorn
ʃat	thorn	ʃe	thorn (prick)
mot	plantain, banana	moʔ	banana
vak	leftside	vue	left hand
vak	leftside	vue	left (side)
vak	leftside	vue	leftside
ru	egg (hàr 'chicken' + -ru 'water')	ruk	egg
ru	egg (hàr 'chicken' + -ru 'water')	ruk	egg (of animal)
wan	flower	vɐŋ	flower
pʰej	foot, leg	pʰu	foot; leg
ci	salt	tsik	salt
ŋom	bear	hɐm	Tibetan/Himalayan bear (Selenarctos thibetanus)
ŋom	bear	hɐm	bear
vuk	belly	wuʔ	belly
va	bird	we	bird (general)
va	bird	we	bird
na	ear	ni	ear
mik	eye	moʔ	eye
luŋ	heart	luŋ	heart
ri	iron	ri	iron
la	bow, arrow	le	arrow
ku	twenty	kɐn	twenty
ku	twenty	kɐn	twenty/score
pʰaŋ	branch	pʰi	branch/bough
wo	grandfather, uncle	vuk	grandfather/father-in-law
wo	grandfather, uncle	vuk	maternal grandfather
wo	grandfather, uncle	vuk	father-in-law
ni	aunt, mother-in-lw	nik	mother-in-law
ru	grandchild	ruk	grandchild
ru	grandchild	ruk	grandchild (nephew)
ruk	six	ruʔ	six
fu	elephant	huk	elephant
kwi	horse	kɐŋ	horse
kuu	insect	kʰu	insect
kuu	insect	kʰu	insect/bug/vermin
ri	intestines (ak´ri)	rɐŋ	guts/intestine
ri	intestines (ak´ri)	rɐŋ	guts; intestine; viscera
ri	intestines (ak´ri)	rɐŋ	large intestine
ri	intestines (ak´ri)	ri	small intestine
ri	medicine	rik	medicine
ri	medicine	rik	medicine/juice
joŋ	monkey	ju	monkey
ok	rat	juʔ	rat
pʰa	snake (ph´$	rɐŋ	snake
ci	horn	tsik	horn
ci	horn	tsik	horn; antler
ʃi	blood	sik	blood
ʃi	blood	sik	bleed (v.)
ha	hair (on body)	se	body hair
na	leaf	ni	leaf
mor	mouth	mu	mouth
luŋ	stone	luŋ	stone
ru	bone	ruk	bone
ru	bone	ruk	bone
ʃoŋ	road	sɐŋ	road/path
kʰut	smoke	kʰuʔ	smoke
ru	water	ruk	water
ni	two	nik	two
tʰum	three	tʰɐm	three
tii	four	kik	four
ʃat	eight	tsejʔ	eight
ko	nine	ku	nine
ra	ten	re	ten
kʰuk	knee	kʰu	crooked
kʰuk	knee	kʰuʔ	knee
reŋ	finger	re	finger
tok	brain	luʔ	brain
tok	brain	lu	brain
tok	brain	lu	brain
tok	brain	luʔ	brain
huj	animal skin	hɐŋ	skin
co	saliva (-co 'spit' + -ru 'water')	tsu	spit (v.)
co	saliva (-co 'spit' + -ru 'water')	tsam	saliva
kor	bark	ku	bark
kor	bark	ku	bark (of tree)
kʰaj	fish	kʰej	crab
kʰaj	fish	kʰej	fish
hok	pig	huʔ	pig
kan	cross	kej	cross
caw	deer	tsow	deer (generic)
sa	borrow ('take' + borrow/lend)	se	lend
caŋ	want, like	tsa	like/desire/want
tsu	touch	tsuk	touch
tʰuj	rise up, wake up	tʰow	awaken
ra	come	re	come
haw	start	haw	start
rum	add together, together	rɐm	add together
kup	finish	kɐp	finish
tsa	eat	tse	eat
tsa	eat	tse	eat
wo	crawl	vu	crawl
vaw	shout	vow	shout
vat	angry	vejʔ	angry (hear is bursting)
tʰeŋ	dry	tʰe	dry
tʰaw	oil	tʰow	fat
ʃa	hear	tse	hear
ʃɐp	be skilled at, be adept at, well versed in; be enough?	saʔ	able
ʃuŋ	correct	suŋ	correct
co	spit	tsu	spit (v.)
co	spit	tsam	saliva
su	tie	suk	tie
lej	exist, have, be	lu	exist
ta	be far off	ke	far
tʰuk	deep	tuʔ	deep
ha	bamboo	we	bamboo
ha	bamboo	wi	bamboo
nu	breast	nuk	breast
nir	wrinkle	nu	wrinkle
ŋa	five	ni	five
kʰaŋ	lift	kʰi	lift up
luŋ	stone	luŋ	stone
ca	necklace	ce	necklace
veŋ	lightweight	vi	light (weight)
ru	egg	ruk	egg
ru	egg	ruk	egg (of animal)
ti	four	kik	four
tʰɐr	new	tʰo	new
tʰɐt	kill	tʰejʔ	kill
rɐk	weave	roʔ	weave
rɐk	weave	roʔ	weaver
rɐk	weave	roʔ	weave
tʰɐk	kick	kaʔ	kick
jɐk	ashamed	joʔ	ashamed
mi	give	me	give
tʰum	hide	tʰɐŋ	hide
ci	fear/frighten	tsik	fear
ci	fear/frighten	tsik	afraid
ma	rice (in fields/unhulled)	mi	rice field/swidden/upland field
luj	water buffalo	lu	buffalo
li	steal	li	steal
juj	leftside	vue	leftside
ja	night	je	night
nɐm	smell	nam	smell
cuj	dig	tsow	dig
riŋ	alive	rɐŋ	alive; be living
riŋ	alive	rɐŋ	alive
kap	shoot	kaʔ	shoot
kap	shoot	kaʔ	shoot (v.)
muj	itchy	mow	itchy
miŋ	name	mɐŋ	name
ŋum	round	vɐm	round
min	ripe/well-cooked	mɐŋ	ripe/well-cooked
kʰaj	knife	kʰu	knife
tʰaw	fat	tʰow	fat
ri	intestines	rɐŋ	guts; intestine; viscera
ri	intestines	rɐŋ	guts/intestine
ri	intestines	rɐŋ	large intestine
ri	intestines	ri	small intestine
ku	insect/bug/vermin	kʰu	insect
ku	insect/bug/vermin	kʰu	insect/bug/vermin
jon	be wrong	jɐŋ	wrong
kuj	horse	kɐŋ	horse
mej	fire	mu	fire
cap	weep	tsaʔ	weep
won	flower	vɐŋ	flower
tsiŋ	sky/rain	tsɐŋ	sky
juŋ	root	juŋ	root
ru	water	ruk	water
luj	field	low	field
paj	fly	pej	fly (v.)
paj	fly	pej	fly
laj	forget	le	forget
suj	tempt	su	tempt
tsɐn	sharp	tsej	sharp
tʰɐr	clean	tʰo	clean
rap	rib	raʔ	rib
nɐ	thou	no	2sg
kaj	break	kej	break
ta	descend	ke	descend/come down
tʰej	know/see	tʰu	see/know
tek	break	leʔ	break
wuk	belly (exterior)	wuʔ	belly
wuk	belly (exterior)	wuʔ	belly (exterior)
